path,sample_rate_hz,rms_energy,peak_amplitude,dominant_frequency_hz,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_hz,spectral_entropy,zero_crossing_rate,energy_low_band,energy_mid_band,energy_high_band,resonance_peak_hz,decay_rate,decay_time_60db_s,quality_passed,snr_db,recommendation
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_009.wav,44100,0.078183,0.869868,548.8,2644.7,1699.5,4703.8,0.8683,0.1249,0.1879,0.5871,0.2249,548.8,3.796,1.29,True,29.47,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_010.wav,44100,0.088171,0.874758,968.8,2635.7,1697.3,4701.2,0.8668,0.1265,0.2023,0.5722,0.2255,968.8,3.798,1.2899,True,29.66,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_011.wav,44100,0.077593,0.875904,548.1,2665.6,1698.4,4723.8,0.8708,0.1263,0.1812,0.5906,0.2281,548.1,3.774,1.29,True,28.53,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_012.wav,44100,0.085893,0.854912,778.1,2635.6,1705.1,4707.5,0.8683,0.1249,0.2005,0.5731,0.2264,778.1,3.776,1.2899,True,29.18,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_013.wav,44100,0.086827,0.919452,892.5,2679.0,1686.2,4725.6,0.8702,0.1259,0.1799,0.5909,0.2291,892.5,3.777,1.29,True,28.7,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_014.wav,44100,0.087395,0.851581,641.9,2628.9,1713.5,4709.4,0.8685,0.1264,0.2015,0.5719,0.2266,641.9,3.77,1.29,True,29.4,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_015.wav,44100,0.08868,0.929208,694.4,2646.2,1691.5,4695.6,0.8674,0.1267,0.1886,0.5872,0.2241,694.4,3.799,1.2901,True,29.59,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_defectlike_016.wav,44100,0.086562,0.869498,1000.6,2647.4,1695.4,4711.2,0.868,0.1254,0.1776,0.5956,0.2268,1000.6,3.773,1.29,True,29.27,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_001.wav,44100,0.105831,0.884052,2042.5,2599.2,1549.6,4447.5,0.8174,0.1295,0.1304,0.677,0.1926,2042.5,3.981,1.29,True,33.31,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_002.wav,44100,0.110741,0.879589,1940.6,2547.7,1520.5,4355.6,0.7935,0.1293,0.1228,0.6944,0.1827,1940.6,4.051,1.29,True,33.79,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_003.wav,44100,0.112633,0.905787,2175.0,2601.5,1500.9,4353.1,0.7932,0.132,0.1224,0.6955,0.182,2175.0,4.067,1.29,True,33.82,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_004.wav,44100,0.099816,0.891929,2040.0,2639.4,1593.9,4560.0,0.8409,0.1291,0.1384,0.6555,0.2061,2040.0,3.921,1.29,True,32.48,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_005.wav,44100,0.103896,0.881348,1576.2,2528.7,1599.3,4478.1,0.8222,0.1283,0.132,0.6721,0.1959,1576.2,3.958,1.29,True,33.19,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_006.wav,44100,0.100856,0.878758,1545.6,2542.9,1612.2,4510.6,0.8302,0.1284,0.1346,0.6652,0.2002,1545.6,3.953,1.29,True,32.93,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_007.wav,44100,0.114739,0.897485,2118.8,2577.7,1487.5,4308.8,0.7825,0.1303,0.1189,0.7034,0.1776,2118.8,4.073,1.29,True,33.98,ok
dataset-acoustic\synthetic\demo_chirp_responses\synthetic_firmlike_008.wav,44100,0.102755,0.882543,1585.6,2540.7,1604.9,4499.4,0.827,0.1298,0.1333,0.6679,0.1987,1585.6,3.975,1.29,True,33.05,ok
